model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
mean_of_samples,random,14,0,0.41161525876753713,1.0,0.0,0.0,35,0.0,,,,0.36191347749213026,0.0,0.0,,,,,,
simgp24,random,15,0,0.11674535639981737,0.9722222222222222,1.0,0.9859154929577464,35,0.7142857142857143,0.5324675324675324,0.6753246753246753,0.7792207792207793,0.04403440872979385,0.8461538461538461,0.987012987012987,0.7,0.6,1.0,0.85,0.9,1.1
simgp24_g75,random,15,0,0.10907640586714823,0.9666666666666667,0.8285714285714286,0.8923076923076922,35,0.6493506493506493,0.18181818181818182,0.5454545454545454,0.7012987012987013,,,,,,,,,
simgp_timeblind,random,15,0,0.28080044799772225,1.0,0.22857142857142856,0.3720930232558139,35,0.2987012987012987,,,,0.2291269690725563,0.3076923076923077,0.44155844155844154,,,,,,
mean_of_samples,random,15,0,0.4419437062365531,1.0,0.0,0.0,35,0.0,,,,0.38686087506912775,0.0,0.0,,,,,,
simgp24,uncertainty,3,0,0.06665111728555996,1.0,0.8292682926829268,0.9066666666666667,41,1.0,0.6067415730337079,0.9662921348314607,1.0,0.11811741343720387,0.3548387096774194,0.9550561797752809,0.25,0.6,0.0,1.15,0.9,1.0
simgp24,uncertainty,4,0,0.08816447390606917,1.0,0.775,0.8732394366197184,40,0.9772727272727273,0.5227272727272727,0.9204545454545454,1.0,0.16021828582403094,0.23333333333333334,0.9431818181818182,0.1,0.6,0.0,1.15,0.9,0.95
simgp24,uncertainty,5,0,0.07316642494721065,1.0,0.7692307692307693,0.8695652173913044,39,1.0,0.5172413793103449,0.9310344827586207,1.0,0.1064810686667025,0.4827586206896552,0.9425287356321839,0.25,0.6,0.5,1.15,1.0,0.95
simgp24,uncertainty,6,0,0.06511587459772339,1.0,0.7894736842105263,0.8823529411764706,38,1.0,0.5581395348837209,0.9651162790697675,1.0,0.09333675373621736,0.5,0.9767441860465116,0.25,0.6,0.5,1.15,1.0,0.95
simgp24,uncertainty,7,0,0.06613963787438114,1.0,0.7837837837837838,0.8787878787878788,37,1.0,0.5764705882352941,0.9764705882352941,1.0,0.0855719116767676,0.48148148148148145,0.9647058823529412,0.25,0.6,0.5,1.15,1.0,0.9
simgp24,uncertainty,8,0,0.055354067721605664,1.0,0.8055555555555556,0.8923076923076924,36,0.9761904761904762,0.7142857142857143,0.9523809523809523,0.9880952380952381,0.06677338880411782,0.6538461538461539,0.9761904761904762,0.1,1.0,0.0,1.15,1.0,1.0
simgp24,uncertainty,9,0,0.05489220007775643,1.0,0.8857142857142857,0.9393939393939393,35,0.9879518072289156,0.5903614457831325,0.891566265060241,0.9879518072289156,0.05644671877176823,0.7307692307692307,0.9879518072289156,0.7,0.6,1.0,0.85,1.1,1.1
simgp24,uncertainty,10,0,0.0495611538668278,1.0,0.8529411764705882,0.9206349206349206,34,0.9878048780487805,0.7682926829268293,0.975609756097561,0.9878048780487805,0.06296844109803139,0.72,0.9878048780487805,0.1,1.0,0.0,1.15,1.0,1.05
simgp24,uncertainty,11,0,0.18677397901120954,0.8918918918918919,1.0,0.9428571428571428,33,0.8518518518518519,0.38271604938271603,0.6666666666666666,0.9012345679012346,0.05996001685102748,0.9583333333333334,1.0,0.7,0.6,1.0,1.0,1.1,1.05
simgp24,uncertainty,12,0,0.17878295267379932,0.9411764705882353,1.0,0.9696969696969697,32,0.8625,0.4125,0.7125,0.8875,0.06320806933941435,0.9565217391304348,1.0,0.7,0.6,1.0,1.0,1.1,1.05
simgp24,uncertainty,13,0,0.18855317378747835,0.9393939393939394,1.0,0.96875,31,0.810126582278481,0.3670886075949367,0.6455696202531646,0.8987341772151899,0.05690507062432268,0.9545454545454546,1.0,0.7,0.6,1.0,1.0,1.1,1.05
