model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma
simgp_timeblind,random,11,3,0.2095227066162003,1.0,0.27586206896551724,0.4324324324324324,29,0.43209876543209874,0.14805564030069582,0.47058823529411764,0.5308641975308642,,,
mean_of_samples,random,11,3,0.2796188302843834,1.0,0.0,0.0,29,0.0,0.26478856074620577,0.0,0.0,,,
simgp24,random,12,3,0.119210190370444,0.7,0.75,0.7241379310344827,28,0.675,0.10396373301743116,0.875,0.925,0.1,1.0,1.0
simgp_timeblind,random,12,3,0.2075300716117198,1.0,0.2857142857142857,0.4444444444444445,28,0.4375,0.14165655586435558,0.5,0.5625,,,
mean_of_samples,random,12,3,0.2734826616114048,1.0,0.0,0.0,28,0.0,0.26220129585732616,0.0,0.0,,,
simgp24,random,13,3,0.12099872108396814,0.7241379310344828,0.75,0.736842105263158,28,0.46835443037974683,0.10576677184663598,0.9375,0.8860759493670886,0.1,1.0,1.0
simgp_timeblind,random,13,3,0.2099031499823327,1.0,0.5,0.6666666666666666,28,0.379746835443038,0.14580377010321507,0.6875,0.569620253164557,,,
mean_of_samples,random,13,3,0.26272949939285695,1.0,0.0,0.0,28,0.0,0.26452673402326976,0.0,0.0,,,
simgp24,random,14,3,0.11545724415864018,1.0,0.7037037037037037,0.8260869565217391,27,0.717948717948718,0.09804347417718991,0.8666666666666667,0.8846153846153846,0.1,1.0,1.0
simgp_timeblind,random,14,3,0.21254336151441133,1.0,0.5555555555555556,0.7142857142857143,27,0.34615384615384615,0.13626711434098113,0.8,0.7435897435897436,,,
mean_of_samples,random,14,3,0.2618969687093912,1.0,0.0,0.0,27,0.0,0.2624676389217524,0.0,0.0,,,
simgp24,random,15,3,0.1119534048815426,0.7692307692307693,0.7407407407407407,0.7547169811320754,27,0.5064935064935064,0.13934554426786458,0.9333333333333333,0.8571428571428571,0.1,1.0,1.0
simgp_timeblind,random,15,3,0.21664256689770464,1.0,0.5555555555555556,0.7142857142857143,27,0.35064935064935066,0.1398206522526965,0.8,0.6883116883116883,,,
mean_of_samples,random,15,3,0.2616346892413612,1.0,0.0,0.0,27,0.0,0.2627391400508455,0.0,0.0,,,
