model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,straddle,12,0,0.04835587017470324,0.8076923076923077,0.9767441860465116,0.8842105263157894,344,0.955649419218585,0.6874340021119324,0.9007391763463569,0.9672650475184794,0.12021389931935285,0.9297297297297298,0.9704329461457233,0.4,0.6,0.5,1.0,0.9,1.1
simgp24,straddle,13,0,0.039268628806377985,0.9038461538461539,0.9591836734693877,0.9306930693069307,343,0.9566596194503171,0.7748414376321353,0.9312896405919662,0.9682875264270613,0.11638453825962476,0.8324324324324325,0.9630021141649049,0.4,0.6,0.0,1.15,1.1,1.05
simgp24,straddle,14,0,0.04035074189242001,0.8549222797927462,0.9649122807017544,0.9065934065934066,342,0.9544973544973545,0.7216931216931217,0.9174603174603174,0.9661375661375662,0.09964847682340792,0.8804347826086957,0.9714285714285714,0.4,0.6,1.0,1.15,0.9,0.95
simgp24,straddle,15,0,0.09358062210788148,0.8457446808510638,0.9325513196480938,0.8870292887029287,341,0.9692796610169492,0.7658898305084746,0.9385593220338984,0.9798728813559322,0.30712240026122756,0.8743169398907104,0.9629237288135594,0.4,0.6,0.5,1.0,0.9,1.1
simgp24,straddle_min,3,0,0.05539053737498954,0.9697986577181208,0.8186968838526912,0.8878648233486943,353,0.9686192468619247,0.8661087866108786,0.9560669456066946,0.9780334728033473,0.11041979955762588,0.6190476190476191,0.9801255230125523,0.4,0.3,1.0,1.15,1.0,0.9
simgp24,straddle_min,4,0,0.04036770921328797,0.9449275362318841,0.9261363636363636,0.9354375896700143,352,0.9591623036649215,0.7958115183246073,0.9382198952879581,0.9696335078534032,0.09632980099158175,0.8201058201058201,0.9717277486910995,0.4,0.3,1.0,1.15,1.0,0.9
simgp24,straddle_min,5,0,0.04126914999184078,0.8503740648379052,0.9715099715099715,0.9069148936170213,351,0.940251572327044,0.7830188679245284,0.8920335429769392,0.9654088050314465,0.09316346530468768,0.9148936170212766,0.9790356394129979,0.55,0.3,0.0,1.15,1.0,1.1
simgp24,straddle_min,6,0,0.04292386417420944,0.8157894736842105,0.9715099715099715,0.8868660598179454,351,0.938090241343127,0.7481636935991606,0.8866736621196223,0.9653725078698846,0.0901805836686475,0.9521276595744681,0.9790136411332634,0.55,0.6,1.0,1.15,1.1,1.1
simgp24,straddle_min,7,0,0.04326221612845679,0.8236714975845411,0.9715099715099715,0.8915032679738564,351,0.9432773109243697,0.7426470588235294,0.8855042016806722,0.9621848739495799,0.08819410630165632,0.9521276595744681,0.9789915966386554,0.55,0.6,1.0,1.15,1.1,1.1
simgp24,straddle_min,8,0,0.04457918074276893,0.8357843137254902,0.9715099715099715,0.8985507246376813,351,0.9305993690851735,0.7139852786540484,0.8769716088328076,0.9568874868559412,0.08975630895877165,0.9414893617021277,0.9737118822292324,0.55,0.6,1.0,1.15,1.1,1.1
simgp24,straddle_min,9,0,0.041721624225373385,0.8503740648379052,0.9742857142857143,0.9081225033288949,350,0.9294736842105263,0.7378947368421053,0.8842105263157894,0.9473684210526315,0.10002091832270373,0.9042553191489362,0.9578947368421052,0.4,0.3,0.5,1.15,1.1,0.9
simgp24,straddle_min,10,0,0.03933889881435843,0.8564231738035264,0.9742120343839542,0.9115281501340483,349,0.9325605900948367,0.7608008429926238,0.8893572181243414,0.9483667017913593,0.1009624188439241,0.8882978723404256,0.9536354056902002,0.4,0.3,0.5,1.15,1.1,0.9
simgp24,straddle_min,11,0,0.04053158242851704,0.924791086350975,0.9512893982808023,0.9378531073446328,349,0.9419831223628692,0.7732067510548524,0.9018987341772152,0.9620253164556962,0.1094734589194755,0.8351063829787234,0.95042194092827,0.4,0.3,1.0,1.15,0.9,0.9
simgp24,straddle_min,12,0,0.04036439425482036,0.9269662921348315,0.9482758620689655,0.9375000000000001,348,0.9355860612460402,0.7687434002111933,0.8933474128827877,0.9619852164730729,0.10927161153768447,0.8404255319148937,0.9482576557550159,0.4,0.3,1.0,1.15,0.9,0.9
simgp24,straddle_min,13,0,0.040178556211383956,0.9241573033707865,0.9481268011527377,0.9359886201991465,347,0.9344608879492601,0.7621564482029598,0.8805496828752643,0.9566596194503171,0.10871884275789409,0.8404255319148937,0.9471458773784355,0.4,0.3,1.0,1.15,0.9,0.9
simgp24,straddle_min,14,0,0.03944721304863441,0.8962765957446809,0.9739884393063584,0.9335180055401663,346,0.9216931216931217,0.7566137566137566,0.8783068783068783,0.9523809523809523,0.10586478649421785,0.8670212765957447,0.9428571428571428,0.4,0.3,0.0,1.15,0.9,0.9
simgp24,straddle_min,15,0,0.04108749191939591,0.8936170212765957,0.9739130434782609,0.9320388349514563,345,0.9205508474576272,0.7563559322033898,0.871822033898305,0.9555084745762712,0.10697071079161445,0.8670212765957447,0.9385593220338984,0.4,0.3,0.5,1.15,0.9,0.9
