model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,map_kb,map_kw,map_gamma
simgp_core,uncertainty,10,2,0.074201516381164,0.0647294111469677,0.631578947368421,1.0,0.7741935483870968,12,0.8170731707317073,0.55,0.6,1.0
simgp_core,uncertainty,11,2,0.06195620498043462,0.05056574493315401,0.5789473684210527,1.0,0.7333333333333334,11,0.9629629629629629,0.55,0.6,1.0
simgp_core,uncertainty,12,2,0.07963220917730968,0.05719163372534232,0.625,1.0,0.7692307692307693,10,0.875,0.55,0.6,1.0
simgp_core,uncertainty,13,2,0.054673393746830945,0.042542469284909276,0.6,1.0,0.7499999999999999,9,0.9113924050632911,0.55,0.6,1.0
simgp_core,uncertainty,14,2,0.05507677464971417,0.04360309115714357,0.6,1.0,0.7499999999999999,9,0.8974358974358975,0.55,0.6,1.0
simgp_core,uncertainty,15,2,0.053854410477193054,0.04243116892619479,0.6428571428571429,1.0,0.782608695652174,9,0.8701298701298701,0.55,0.6,1.0
simgp_core,straddle,3,2,0.04686944718439578,0.03225482563083389,0.875,0.875,0.875,16,0.898876404494382,0.55,0.6,0.0
simgp_core,straddle,4,2,0.04760276247063061,0.03344526122077294,0.8666666666666667,0.8666666666666667,0.8666666666666667,15,0.8977272727272727,0.4,0.6,0.5
simgp_core,straddle,5,2,0.04558902060006244,0.03117589969953648,0.8666666666666667,0.9285714285714286,0.896551724137931,14,0.896551724137931,0.4,0.6,0.5
simgp_core,straddle,6,2,0.04624428119059679,0.03200050500200919,0.8571428571428571,0.9230769230769231,0.888888888888889,13,0.9418604651162791,0.4,0.6,0.5
simgp_core,straddle,7,2,0.04636432211901977,0.031916389701530205,0.9230769230769231,0.9230769230769231,0.9230769230769231,13,0.9176470588235294,0.4,0.6,0.5
simgp_core,straddle,8,2,0.04689856100536887,0.03263179259881818,0.9230769230769231,1.0,0.9600000000000001,12,0.9047619047619048,0.4,0.6,0.5
simgp_core,straddle,9,2,0.04720404288077079,0.03297479459498631,0.9230769230769231,1.0,0.9600000000000001,12,0.8433734939759037,0.4,0.6,1.0
simgp_core,straddle,10,2,0.04751993225722318,0.03342589820052554,0.9230769230769231,1.0,0.9600000000000001,12,0.8414634146341463,0.4,0.6,1.0
simgp_core,straddle,11,2,0.04769613181105498,0.03374205634982436,0.9166666666666666,1.0,0.9565217391304348,11,0.8024691358024691,0.4,0.6,1.0
simgp_core,straddle,12,2,0.04831137956640782,0.034340795551186694,0.9090909090909091,1.0,0.9523809523809523,10,0.825,0.4,0.6,1.0
simgp_core,straddle,13,2,0.049055559326062634,0.03568570038486706,0.9,1.0,0.9473684210526316,9,0.8987341772151899,0.4,0.6,1.0
simgp_core,straddle,14,2,0.049807564678539314,0.0362893304373602,0.8888888888888888,1.0,0.9411764705882353,8,0.8974358974358975,0.4,0.6,1.0
simgp_core,straddle,15,2,0.048709024814194236,0.035061936341147126,1.0,1.0,1.0,8,0.9090909090909091,0.4,0.6,1.0
simgp_core,random,3,3,0.18159088042285454,0.12596278522991236,0.9333333333333333,0.7777777777777778,0.8484848484848485,18,0.6853932584269663,0.1,0.6,1.0
physgp_core,random,3,3,0.26713214419875236,0.21601386798874952,1.0,0.0,0.0,18,0.056179775280898875,,,
physgp_rich,random,3,3,0.26713280268096373,0.21620254771836245,1.0,0.0,0.0,18,0.056179775280898875,,,
simgp_rich,random,3,3,0.12761796146206283,0.08669123735939809,0.8888888888888888,0.8888888888888888,0.8888888888888888,18,0.9325842696629213,,,
pinn_rich,random,3,3,0.2617024422300418,0.21231688163557894,1.0,0.0,0.0,18,0.14606741573033707,,,
mean_of_samples,random,3,3,0.2581374464266902,0.21434857812129465,1.0,0.0,0.0,18,,,,
nearest_sample,random,3,3,0.2620921714868522,0.21295647476058543,1.0,0.0,0.0,18,,,,
decay_only,random,3,3,0.2671328150635455,0.21620269949987922,1.0,0.0,0.0,18,,,,
simgp_core,random,4,3,0.15555118467872944,0.12286579837023859,0.75,0.16666666666666666,0.27272727272727276,18,0.7840909090909091,0.1,0.6,1.0
physgp_core,random,4,3,0.25978493468122466,0.20690677179123523,1.0,0.0,0.0,18,0.48863636363636365,,,
physgp_rich,random,4,3,0.24408765666441076,0.19351762124097602,1.0,0.0,0.0,18,0.4659090909090909,,,
simgp_rich,random,4,3,0.14322259443389748,0.10731961867347105,0.8571428571428571,0.3333333333333333,0.48,18,0.875,,,
mean_of_samples,random,4,3,0.2633582091838185,0.21911315839895143,1.0,0.0,0.0,18,,,,
