model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,uncertainty,8,3,0.11607055588649262,1.0,0.0,0.0,1,1.0,0.4444444444444444,0.8148148148148148,1.0,0.14190523025379842,1.0,0.9629629629629629,0.1,0.1,0.0,1.15,1.0,0.95
simgp24,uncertainty,9,3,0.13248067682026596,1.0,0.0,0.0,1,1.0,0.6153846153846154,0.8461538461538461,1.0,0.16743815476178273,1.0,0.9615384615384616,0.1,0.1,0.5,1.15,1.0,0.95
simgp24,uncertainty,10,3,0.13378203949661602,1.0,0.0,0.0,1,1.0,0.52,0.84,1.0,0.17506812802524546,1.0,0.92,0.1,0.1,1.0,1.15,1.0,1.05
simgp24,uncertainty,11,3,0.18101037077145307,1.0,0.0,0.0,1,0.6666666666666666,0.2916666666666667,0.625,0.875,0.21478853841616086,1.0,0.9166666666666666,0.1,0.1,0.0,1.15,1.0,0.95
simgp24,uncertainty,12,3,0.18177903310826937,1.0,0.0,0.0,1,0.6956521739130435,0.30434782608695654,0.6521739130434783,0.782608695652174,0.22001011209996676,1.0,0.9130434782608695,0.1,0.1,0.0,1.15,1.0,0.95
simgp24,uncertainty,13,3,0.16802881419539017,1.0,0.0,0.0,1,0.7727272727272727,0.3181818181818182,0.6363636363636364,0.8181818181818182,0.23874219946539663,1.0,0.9090909090909091,0.1,0.1,0.0,1.15,1.0,0.9
simgp24,uncertainty,14,3,0.1451768773936394,1.0,0.0,0.0,1,0.7142857142857143,0.38095238095238093,0.6666666666666666,0.8095238095238095,0.23278666931664613,1.0,0.9047619047619048,0.1,0.1,0.0,1.15,1.0,0.9
simgp24,uncertainty,15,3,0.1538749034839163,1.0,0.0,0.0,1,0.65,0.35,0.6,0.7,0.23535561473967853,1.0,0.9,0.1,0.1,0.0,1.15,1.0,0.9
simgp24,straddle,3,3,0.07528066980382302,0.75,1.0,0.8571428571428571,3,1.0,0.96875,1.0,1.0,0.08305290017595894,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.1
simgp24,straddle,4,3,0.07138040560057754,0.5,0.5,0.5,2,1.0,0.8064516129032258,0.967741935483871,1.0,0.08624115295136672,1.0,1.0,0.1,0.1,0.0,1.0,0.9,1.05
simgp24,straddle,5,3,0.09456542233128114,1.0,1.0,1.0,1,0.8,0.5666666666666667,0.7333333333333333,0.9666666666666667,0.10699635302620238,1.0,0.9666666666666667,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,6,3,0.0774423152301689,1.0,1.0,1.0,0,1.0,0.5517241379310345,0.896551724137931,1.0,0.105011235016521,1.0,0.9310344827586207,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,7,3,0.08173452451690554,1.0,1.0,1.0,0,0.8928571428571429,0.4642857142857143,0.7142857142857143,1.0,0.1388336593922607,1.0,0.9285714285714286,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,8,3,0.10161400888907222,1.0,1.0,1.0,0,0.8888888888888888,0.4074074074074074,0.7407407407407407,1.0,0.1709174443195244,1.0,0.9259259259259259,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,9,3,0.10511480254794087,1.0,1.0,1.0,0,0.7692307692307693,0.38461538461538464,0.6923076923076923,0.9615384615384616,0.15829273191439167,1.0,0.9615384615384616,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,10,3,0.12846721787492865,1.0,1.0,1.0,0,0.56,0.4,0.52,0.64,0.154858662748958,1.0,0.96,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,11,3,0.1329995149450771,1.0,1.0,1.0,0,0.5833333333333334,0.375,0.5,0.625,0.18043368535778678,1.0,0.9583333333333334,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,12,3,0.11764621550670949,0.0,1.0,0.0,0,0.8260869565217391,0.4782608695652174,0.5217391304347826,0.9130434782608695,0.12419391449061978,1.0,0.9565217391304348,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,13,3,0.12525684343266227,0.0,1.0,0.0,0,0.6818181818181818,0.45454545454545453,0.5909090909090909,0.8181818181818182,0.13254588909686738,1.0,0.9545454545454546,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,14,3,0.1408226463115364,0.0,1.0,0.0,0,0.6666666666666666,0.3333333333333333,0.47619047619047616,0.8571428571428571,0.18754505632219595,1.0,0.9523809523809523,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle,15,3,0.1615114531266995,0.0,1.0,0.0,0,0.5,0.3,0.4,0.55,0.2141326311579405,1.0,0.9,0.1,0.1,0.0,1.0,1.0,1.1
simgp24,straddle_min,3,3,0.07528066980382302,0.75,1.0,0.8571428571428571,3,1.0,0.96875,1.0,1.0,0.08305290017595894,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.1
simgp24,straddle_min,4,3,0.0897612017673547,1.0,0.3333333333333333,0.5,3,1.0,0.6129032258064516,0.8709677419354839,1.0,0.1487928998029733,0.0,0.9354838709677419,0.1,0.1,0.0,1.0,0.9,1.05
simgp24,straddle_min,5,3,0.07320074203785248,1.0,1.0,1.0,2,1.0,0.5666666666666667,0.9666666666666667,1.0,0.08919310407739699,0.0,1.0,0.1,0.1,0.0,1.0,1.0,0.95
simgp24,straddle_min,6,3,0.1023981176619175,1.0,0.0,0.0,1,0.896551724137931,0.5862068965517241,0.8275862068965517,0.9655172413793104,0.17502826108646263,0.0,0.896551724137931,0.1,0.1,0.0,1.0,1.0,1.05
simgp24,straddle_min,7,3,0.10152362353453885,0.0,1.0,0.0,0,1.0,0.6785714285714286,0.8928571428571429,1.0,0.18425262090784253,1.0,0.8928571428571429,0.1,0.1,0.0,0.85,0.9,1.1
simgp24,straddle_min,8,3,0.10222161516774637,0.0,1.0,0.0,0,1.0,0.5555555555555556,0.8148148148148148,1.0,0.15261321188806162,1.0,0.9629629629629629,0.1,0.1,0.0,1.15,1.0,0.9
simgp24,straddle_min,9,3,0.08620995693236053,1.0,1.0,1.0,0,1.0,0.7307692307692307,0.9230769230769231,1.0,0.14292255303850948,1.0,0.9615384615384616,0.1,0.1,0.0,1.0,1.0,0.9
simgp24,straddle_min,10,3,0.06506101122153674,0.0,1.0,0.0,0,1.0,0.92,1.0,1.0,0.06547970492726131,1.0,1.0,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,11,3,0.11363090888913727,0.0,1.0,0.0,0,0.875,0.6666666666666666,0.8333333333333334,0.9583333333333334,0.2479555333995852,1.0,0.8333333333333334,0.1,0.1,0.0,1.15,1.0,0.9
simgp24,straddle_min,12,3,0.09809367558659852,1.0,1.0,1.0,0,0.9565217391304348,0.782608695652174,0.9130434782608695,1.0,0.08145057327705443,1.0,1.0,0.1,0.1,0.0,1.15,1.0,0.9
