model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp_timeblind,random,5,1,0.2330009100889732,1.0,0.19444444444444445,0.32558139534883723,36,0.28735632183908044,,,,0.17418537726003247,0.2916666666666667,0.5517241379310345,,,,,,
mean_of_samples,random,5,1,0.3384112438238865,1.0,0.0,0.0,36,0.0,,,,0.29707667284679884,0.0,0.0,,,,,,
simgp24,random,6,1,0.05812410022376907,0.96875,0.8611111111111112,0.911764705882353,36,0.9767441860465116,0.5348837209302325,0.9186046511627907,1.0,0.0666556147311816,0.7083333333333334,0.9534883720930233,0.25,0.6,0.5,1.15,1.1,0.9
simgp24_g75,random,6,1,0.0657794007516342,0.9666666666666667,0.8055555555555556,0.8787878787878789,36,0.686046511627907,0.3023255813953488,0.6046511627906976,0.7674418604651163,,,,,,,,,
simgp_timeblind,random,6,1,0.2350828641436015,1.0,0.19444444444444445,0.32558139534883723,36,0.29069767441860467,,,,0.17563139684181808,0.2916666666666667,0.5232558139534884,,,,,,
mean_of_samples,random,6,1,0.34628383879339825,1.0,0.0,0.0,36,0.0,,,,0.30271390431778006,0.0,0.0,,,,,,
simgp24,random,7,1,0.05262107586359921,0.96875,0.8611111111111112,0.911764705882353,36,0.9882352941176471,0.6,0.9647058823529412,1.0,0.06595241219487194,0.7083333333333334,0.9529411764705882,0.25,0.6,1.0,1.15,1.1,0.95
simgp24_g75,random,7,1,0.0606760488846203,0.9666666666666667,0.8055555555555556,0.8787878787878789,36,0.6705882352941176,0.4,0.6235294117647059,0.7647058823529411,,,,,,,,,
simgp_timeblind,random,7,1,0.23628688043969864,1.0,0.19444444444444445,0.32558139534883723,36,0.2823529411764706,,,,0.1759380541594999,0.2916666666666667,0.5176470588235295,,,,,,
mean_of_samples,random,7,1,0.36504116816649823,1.0,0.0,0.0,36,0.0,,,,0.3147291478011511,0.0,0.0,,,,,,
simgp24,random,8,1,0.054057769142297436,0.9696969696969697,0.8888888888888888,0.927536231884058,36,0.9761904761904762,0.5714285714285714,0.9523809523809523,1.0,0.06346134628630803,0.75,0.9523809523809523,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,8,1,0.07369330628465193,0.9666666666666667,0.8055555555555556,0.8787878787878789,36,0.44047619047619047,0.2857142857142857,0.38095238095238093,0.6071428571428571,,,,,,,,,
simgp_timeblind,random,8,1,0.2364613692804303,1.0,0.19444444444444445,0.32558139534883723,36,0.2857142857142857,,,,0.1797663234276968,0.2916666666666667,0.4880952380952381,,,,,,
mean_of_samples,random,8,1,0.36257095062702577,1.0,0.0,0.0,36,0.0,,,,0.31384459629098227,0.0,0.0,,,,,,
simgp24,random,9,1,0.053836389827547994,0.96875,0.8611111111111112,0.911764705882353,36,0.963855421686747,0.6144578313253012,0.9518072289156626,0.9879518072289156,0.06633136923834704,0.6666666666666666,0.9518072289156626,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,9,1,0.06860587346817991,0.9666666666666667,0.8055555555555556,0.8787878787878789,36,0.5783132530120482,0.26506024096385544,0.4819277108433735,0.7228915662650602,,,,,,,,,
simgp_timeblind,random,9,1,0.23587384175777845,1.0,0.19444444444444445,0.32558139534883723,36,0.2891566265060241,,,,0.18106246507858326,0.2916666666666667,0.4819277108433735,,,,,,
mean_of_samples,random,9,1,0.3657024243973545,1.0,0.0,0.0,36,0.0,,,,0.3171950952690339,0.0,0.0,,,,,,
simgp24,random,10,1,0.056460248481517095,0.96875,0.8611111111111112,0.911764705882353,36,0.9390243902439024,0.6219512195121951,0.926829268292683,1.0,0.06920826920116947,0.625,0.9512195121951219,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,10,1,0.063062707565388,0.9705882352941176,0.9166666666666666,0.9428571428571428,36,0.6341463414634146,0.34146341463414637,0.5487804878048781,0.7073170731707317,,,,,,,,,
simgp_timeblind,random,10,1,0.23570095765975194,1.0,0.19444444444444445,0.32558139534883723,36,0.2804878048780488,,,,0.18050289798492608,0.2916666666666667,0.5121951219512195,,,,,,
mean_of_samples,random,10,1,0.37204941133441116,1.0,0.0,0.0,36,0.0,,,,0.3217182633621586,0.0,0.0,,,,,,
simgp24,random,11,1,0.056853260397658104,0.96875,0.8611111111111112,0.911764705882353,36,0.9382716049382716,0.6172839506172839,0.9259259259259259,0.9876543209876543,0.06987502108346509,0.625,0.9506172839506173,0.25,0.6,0.5,1.0,1.0,0.95
simgp24_g75,random,11,1,0.06271202361446991,0.96875,0.8611111111111112,0.911764705882353,36,0.5802469135802469,0.35802469135802467,0.5185185185185185,0.6296296296296297,,,,,,,,,
simgp_timeblind,random,11,1,0.22271870573564556,1.0,0.19444444444444445,0.32558139534883723,36,0.2839506172839506,,,,0.16430821475624122,0.2916666666666667,0.5185185185185185,,,,,,
mean_of_samples,random,11,1,0.3842771483752943,1.0,0.0,0.0,36,0.0,,,,0.3310424605783489,0.0,0.0,,,,,,
simgp24,random,12,1,0.05480717394031298,0.9696969696969697,0.9142857142857143,0.9411764705882354,35,0.9625,0.55,0.9375,1.0,0.06389807326008655,0.7916666666666666,0.95,0.25,0.6,1.0,1.0,1.0,0.9
simgp24_g75,random,12,1,0.07344686739754484,0.96875,0.8857142857142857,0.9253731343283582,35,0.4375,0.3,0.375,0.5375,,,,,,,,,
simgp_timeblind,random,12,1,0.20751452523446626,1.0,0.22857142857142856,0.3720930232558139,35,0.3125,,,,0.15731925747321585,0.3333333333333333,0.525,,,,,,
mean_of_samples,random,12,1,0.3752091828784741,1.0,0.0,0.0,35,0.0,,,,0.32446301592684385,0.0,0.0,,,,,,
simgp24,random,13,1,0.05406001209242967,0.9696969696969697,0.9142857142857143,0.9411764705882354,35,0.9873417721518988,0.5443037974683544,0.9620253164556962,1.0,0.0639526799196931,0.75,0.9493670886075949,0.1,0.6,0.0,1.15,0.9,0.9
simgp24_g75,random,13,1,0.07415496728830391,0.967741935483871,0.8571428571428571,0.909090909090909,35,0.4177215189873418,0.25316455696202533,0.379746835443038,0.5316455696202531,,,,,,,,,
simgp_timeblind,random,13,1,0.2198613906824234,1.0,0.2,0.33333333333333337,35,0.27848101265822783,,,,0.16402705772169715,0.2916666666666667,0.5063291139240507,,,,,,
