model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,uncertainty,3,6,0.11145750566450778,0.08531700390114506,1.0,0.4166666666666667,0.5882352941176471,12,1.0,0.7191011235955056,1.0,1.0,0.1,0.6,1.0,1.0,1.1,0.95,0.4166666666666667
simgp_core,uncertainty,4,6,0.11215003872356466,0.08171068547282441,1.0,0.4166666666666667,0.5882352941176471,12,0.9659090909090909,0.625,0.9431818181818182,0.9772727272727273,0.1,0.6,1.0,1.0,1.1,0.9,0.4166666666666667
simgp_core,uncertainty,5,6,0.1458319432202828,0.11416021187391115,1.0,0.2727272727272727,0.42857142857142855,11,0.735632183908046,0.4367816091954023,0.5977011494252874,0.9080459770114943,0.1,0.6,1.0,1.15,1.0,0.95,0.3333333333333333
simgp_core,uncertainty,6,6,0.1639252062048797,0.13250998349827345,1.0,0.18181818181818182,0.3076923076923077,11,0.5813953488372093,0.3023255813953488,0.5,0.6744186046511628,0.25,0.3,1.0,0.85,1.1,0.9,0.25
simgp_core,uncertainty,7,6,0.13382216330047425,0.1093976087490444,1.0,0.4,0.5714285714285715,10,0.9529411764705882,0.5411764705882353,0.8588235294117647,0.9882352941176471,0.7,0.3,1.0,0.85,0.9,0.9,0.5
simgp_core,uncertainty,8,6,0.13326291429813023,0.10088128492420034,1.0,0.3333333333333333,0.5,9,0.9047619047619048,0.5714285714285714,0.8333333333333334,0.9523809523809523,0.7,0.3,1.0,0.85,0.9,0.9,0.5
simgp_core,uncertainty,9,6,0.8895187643962336,0.3697684788832729,1.0,0.375,0.5454545454545454,8,0.8674698795180723,0.6746987951807228,0.8433734939759037,0.8795180722891566,0.4,0.6,1.0,1.15,0.9,1.0,0.5833333333333334
simgp_core,uncertainty,10,6,0.39527374421615497,0.18062580317105467,1.0,0.375,0.5454545454545454,8,0.926829268292683,0.6707317073170732,0.926829268292683,0.9390243902439024,0.4,0.6,1.0,1.15,0.9,1.0,0.5833333333333334
simgp_core,uncertainty,11,6,0.3837906720198168,0.17675960291729237,1.0,0.375,0.5454545454545454,8,0.9259259259259259,0.6666666666666666,0.9012345679012346,0.9382716049382716,0.4,0.6,1.0,1.15,0.9,1.0,0.5833333333333334
simgp_core,uncertainty,12,6,0.371553891174943,0.17276321503175843,1.0,0.375,0.5454545454545454,8,0.925,0.6625,0.9,0.9375,0.4,0.6,1.0,1.15,0.9,1.0,0.5833333333333334
simgp_core,uncertainty,13,6,1.1572918254132307,0.4104137792201019,1.0,0.2857142857142857,0.4444444444444445,7,0.8607594936708861,0.7088607594936709,0.810126582278481,0.8860759493670886,0.4,0.6,1.0,1.15,0.9,1.0,0.5833333333333334
simgp_core,uncertainty,14,6,0.5409573879895287,0.24674789254683605,1.0,0.2857142857142857,0.4444444444444445,7,0.8589743589743589,0.5769230769230769,0.7435897435897436,0.9102564102564102,0.4,0.6,1.0,1.15,0.9,1.0,0.5833333333333334
